"Engagement","Cover","Summary"
0.0993546189257668,"Genre","Genre"
0.180364332422208,"Genre","Genre"
0.0784371387589953,"Genre","Genre"
0.321528080213779,"Genre","Genre"
0.194950777181536,"Genre","Genre"
0.0799531615881985,"Genre","Genre"
0.210742905242849,"Genre","Genre"
0.235832470512922,"Genre","Genre"
0.219578135165349,"Genre","Genre"
0.131461161284364,"Genre","Genre"
0.313178116845085,"Genre","Genre"
0.200984323641143,"Genre","Genre"
0.0998759419458196,"Genre","Genre"
-0.05946998871775,"Genre","Genre"
0.274493091814311,"Genre","Genre"
0.157506639098477,"Genre","Genre"
0.160380973690105,"Genre","Genre"
0.25638362106853,"Genre","Genre"
0.244122119509809,"Genre","Genre"
0.221390132121751,"Genre","Genre"
0.253897737160822,"Genre","Genre"
0.240213630073107,"Genre","Genre"
0.169456498336519,"Genre","Genre"
-0.0369351695863373,"Genre","Genre"
0.223982574789471,"Genre","Genre"
0.1563871260471,"Genre","Genre"
0.146420449329467,"Genre","Genre"
0.0149247616100726,"Genre","Genre"
0.114184994489138,"Genre","Genre"
0.20379415601997,"Genre","Genre"
0.297867955152904,"Genre","Genre"
0.1517212272657,"Genre","Genre"
0.200767161155937,"Genre","Genre"
0.156619495941709,"Genre","Genre"
0.0242940443171393,"Genre","Genre"
0.120500543670032,"Genre","Genre"
0.122571004628965,"Genre","Genre"
0.156068660328881,"Genre","Genre"
0.272002537198388,"Genre","Genre"
0.238317574845754,"Genre","Genre"
0.145547640374641,"Genre","Genre"
0.136663831986349,"Genre","Genre"
0.231696337540474,"Genre","Genre"
0.217666319867366,"Genre","Genre"
0.093124430545048,"Genre","Genre"
0.091250484303788,"Genre","Genre"
0.198458196213683,"Genre","Genre"
0.238853292451542,"Genre","Genre"
0.150765378784977,"Genre","Genre"
0.250110772645421,"Genre","Genre"
0.201810588036707,"Genre","Genre"
0.100797360674923,"Genre","Genre"
0.196111969142442,"Genre","Genre"
0.0490636903919207,"Genre","Genre"
0.305302370170104,"Genre","Genre"
0.360039989850586,"Genre","Genre"
0.125277852353349,"Genre","Genre"
0.0575865373683469,"Genre","Genre"
0.218971962744241,"Genre","Genre"
0.148494539611918,"Genre","Genre"
0.402161776050478,"Genre","Genre"
0.158075999726683,"Genre","Genre"
0.230973936245078,"Genre","Genre"
0.164800215878067,"Genre","Genre"
0.0876726791117595,"Genre","Genre"
0.180879229951434,"Genre","Genre"
-0.0184958628891038,"Genre","Genre"
0.308555486156289,"Genre","Genre"
