"Engagement","Cover"
0.0485369818157201,"A"
0.238455709898549,"A"
0.219071013812077,"A"
0.0268306071260012,"A"
-0.0409885468920146,"A"
0.221047865366269,"A"
0.0206930036411072,"A"
0.323034155096049,"A"
0.346044254689097,"A"
0.298829790968081,"A"
0.0364426865410435,"A"
0.0235652911809951,"A"
0.16004203207423,"A"
0.178258565476254,"A"
0.148529164853005,"A"
0.153520136205019,"A"
0.104703814281648,"A"
0.328760643628207,"A"
0.104329826516908,"A"
0.192185634308754,"A"
0.123017767220533,"A"
0.0814053731207978,"A"
0.0969126107226272,"A"
-0.0206202697356046,"A"
0.15201686060825,"A"
0.174940346579214,"A"
0.203546890290513,"A"
0.29315125574602,"A"
-0.003570825100467,"A"
0.106448110969391,"A"
-0.00197974566863471,"A"
0.190893060642224,"A"
0.391175453252274,"A"
0.249209009952905,"A"
0.124988535762296,"A"
0.291852927826183,"A"
0.146480626437393,"A"
0.193803555653231,"A"
0.154903177048025,"A"
0.180346732690334,"A"
0.239908928981738,"A"
0.0363303552932983,"A"
0.361328644783871,"A"
0.126922336208047,"A"
0.202103850534525,"A"
0.375461852406157,"A"
0.154773392972807,"A"
0.101762230472962,"A"
0.367287473298647,"A"
0.0628194927532409,"A"
0.175531261647778,"A"
0.116239676806771,"A"
0.157157883300114,"A"
0.142770604009798,"A"
0.0599146433465974,"A"
0.0179173232291281,"A"
0.238166870948766,"A"
0.231748265567878,"A"
0.0569634656613147,"A"
0.013627263498331,"A"
0.159302336998414,"A"
0.25625149016619,"A"
0.0991010464795068,"A"
0.0989198941011329,"A"
0.0596187120051682,"A"
0.240906211220768,"A"
0.282051618702017,"A"
0.287257285890143,"A"
0.0925972179806728,"A"
0.108385136555211,"A"
0.17089765702832,"A"
0.26494935179188,"A"
0.214115864528744,"A"
0.110150073685543,"A"
0.226481767648292,"A"
0.194482916681395,"A"
0.21433677015326,"A"
0.0124597729661473,"A"
0.156034256803224,"A"
0.179552980048033,"A"
0.0668811566035474,"A"
0.208411322326734,"A"
0.2530891997664,"A"
0.0813802615279413,"A"
0.183367137782751,"A"
0.0499647229585007,"A"
0.195078777923209,"A"
0.154220289342833,"A"
0.254303467546988,"A"
0.0870547138485944,"A"
0.247415516277753,"A"
0.120812820429506,"A"
0.158915855809782,"A"
0.197290944449146,"A"
0.295281476855882,"A"
0.122269921462625,"A"
0.233324459738049,"A"
0.0115099444687742,"A"
0.0633036177716408,"A"
0.159822164388118,"A"
0.202831291857359,"A"
0.204605851229602,"A"
0.0518834169706761,"A"
0.128765031151663,"A"
0.185020758765299,"A"
0.0448846595088372,"A"
0.221136953810453,"A"
0.176727602256798,"A"
0.196795120798254,"A"
0.210581357552311,"A"
0.0772268863777708,"A"
0.224697330190446,"A"
0.209933841974645,"A"
0.307524438210113,"A"
-0.112065267072482,"A"
0.238589284730095,"A"
-0.0738953583014539,"A"
0.0348037864834627,"A"
0.119162561301246,"A"
0.118161185650947,"A"
0.115750437256696,"A"
0.048938833002268,"A"
0.0298336274427092,"A"
0.176896529316733,"A"
0.00160380660568463,"A"
0.205425746562326,"A"
0.13901360321458,"A"
0.216909947280376,"A"
0.162676956777444,"A"
-0.0130869376247325,"A"
0.117449406785499,"A"
0.214140379951794,"A"
0.203569176558832,"A"
0.262812944995673,"A"
0.231070062843697,"A"
0.0671694879685188,"A"
0.11549338547446,"A"
0.287485699219788,"A"
0.195375764235621,"A"
0.182268785863221,"A"
0.304024038155086,"A"
0.210954401604463,"A"
0.098444914763735,"A"
0.3119066838108,"A"
0.400465628452736,"A"
0.16348794173943,"A"
0.277049126108171,"A"
0.0740471978102842,"A"
0.014540692469754,"A"
0.141910095879737,"A"
0.0119281171377563,"A"
0.359332832066431,"A"
0.221282781423159,"A"
0.0722204068684034,"A"
0.368808613025328,"A"
0.120849820876279,"A"
0.167009318243405,"A"
0.147080307515476,"A"
0.165311504006688,"A"
0.210047639053891,"A"
0.0521329299332167,"A"
0.195314617793607,"A"
0.0346967175568703,"A"
0.111811498444803,"A"
0.155438369813179,"A"
-0.00368537850001399,"A"
0.16118561576836,"A"
0.254059298116244,"A"
0.200322634273142,"A"
0.0889411364178617,"A"
0.232333130223323,"A"
0.120137759835463,"A"
0.308742960819724,"A"
0.170041627146149,"A"
0.146817458351911,"A"
0.263542060086146,"A"
0.194803973182812,"A"
0.104302682720014,"A"
0.292930989880338,"A"
0.0483210911432178,"A"
0.0739336086085335,"A"
0.113441698536274,"A"
0.184743280548514,"A"
0.155353865102099,"A"
0.197161359097422,"A"
0.230625274817283,"A"
0.132137586690941,"A"
0.370893895537066,"A"
-0.059465093767321,"A"
0.0379305219631813,"A"
0.238361071732386,"A"
0.17710214806931,"A"
0.18622678041874,"A"
0.209257957238075,"A"
0.112199067217196,"A"
0.100398631488322,"A"
0.164072804822766,"A"
0.120716827162448,"A"
